safe_idx,rounds,click_predictions_mean,click_predictions_std,click,opt_prices,payprice,slotprice,payprice_predictions_mean,payprice_predictions_std
7,0,0.9999999999,1.0000000413701846e-05,1,169.0,169,5,168.9999999785513,1.0000000413701846e-05
22,0,9.085852213378481e-12,5.77350293074713e-06,0,70.0,70,70,69.99999999817135,5.77350293074713e-06
29,0,0.9999999999,1.0000000413701846e-05,1,150.0,150,5,149.99999998909902,1.0000000413701846e-05
33,0,2.1894163023193454e-12,1.0000005964815199e-05,0,80.0,80,80,79.99999999505185,1.0000005964815199e-05
34,0,0.9999999999048459,1.0000000413701846e-05,1,50.0,50,50,49.99999999626071,1.0000000413701846e-05
36,0,2.84598411596235e-16,7.071068104396856e-06,0,80.0,80,80,79.9999999962618,7.071068104396856e-06
46,0,1.2179981574294782e-11,9.999989311465896e-06,0,70.0,70,70,69.99999999947416,9.999989311465896e-06
53,0,0.5,7.071068104396856e-06,1,140.0,140,140,139.9999999929197,1.0000000413701846e-05
57,0,2.84598411596235e-16,7.071068104396856e-06,0,80.0,80,80,79.9999999962618,7.071068104396856e-06
72,0,0.5,7.071068104396856e-06,0,140.0,140,140,139.9999999929197,1.0000000413701846e-05
76,0,-2.7949920361372298e-14,1.0000005964815199e-05,0,70.0,70,70,69.99999999518377,1.0000000413701846e-05
78,0,2.2421319895202896e-11,1.0000000413701846e-05,0,50.0,50,50,49.99999999610481,1.0000005964815199e-05
79,0,1.5461962906348408e-13,1.000001151592547e-05,0,70.0,70,70,69.99999999401902,1.0000005964815199e-05
80,0,0.9999999999,1.0000000413701846e-05,1,16.0,16,5,16.00000000786909,1.0000000413701846e-05
87,0,0.9999999999000976,1.0000000413701846e-05,1,50.0,50,50,50.000000000478444,9.999994862585412e-06
88,0,0.9999999998999526,1.0000000413701846e-05,1,80.0,80,80,79.9999999949845,9.999994862585412e-06
89,0,1.0976402431396192e-22,1.0000000413701846e-05,0,50.0,50,50,49.999999995000046,1.0000000413701846e-05
109,0,0.9999999999,1.0000000413701846e-05,1,41.0,41,0,41.00000000623615,9.999989311465896e-06
111,0,0.999999999906305,1.0000005964815199e-05,1,70.0,70,70,69.99999999721798,1.0000005964815199e-05
137,0,9.085852213378481e-12,5.77350293074713e-06,0,70.0,70,70,69.99999999817135,5.77350293074713e-06
169,0,0.9999999999,1.0000000413701846e-05,1,100.0,100,0,99.99999998723943,1.0000000413701846e-05
177,0,0.9999999999,1.0000000413701846e-05,1,97.0,97,0,97.00000000364214,1.0000005964815199e-05
182,0,0.9999999999,1.0000000413701846e-05,1,244.0,244,0,243.99999997559004,1.0000000413701846e-05
187,0,0.9999999999,1.0000000413701846e-05,1,39.0,39,5,38.9999999961,1.0000000413701846e-05
193,0,0.9999999999,1.0000000413701846e-05,1,70.0,70,70,69.99999999361293,1.0000005964815199e-05
197,0,2.147734850535469e-11,1.0000005964815199e-05,0,70.0,70,70,70.00000000703179,1.0000000413701846e-05
213,0,9.085852213378481e-12,5.77350293074713e-06,0,70.0,70,70,69.99999999817135,5.77350293074713e-06
222,0,0.999999999899986,1.0000000413701846e-05,1,70.0,70,70,69.99999999399505,1.0000005964815199e-05
233,0,0.9999999998942283,1.0000000413701846e-05,1,70.0,70,70,69.99999999878312,1.000001151592547e-05
247,0,0.9999999999,1.0000000413701846e-05,1,280.0,280,280,279.99999997199996,1.0000000413701846e-05
7,0,1.0,1.0000000413701846e-05,1,164.04111491054192,169,5,168.9999999785513,1.0000000413701846e-05
22,0,0.0,5.77350293074713e-06,0,53.85127154995773,70,70,69.99999999817135,5.77350293074713e-06
29,0,1.0,1.0000000413701846e-05,1,145.2758514532501,150,5,149.99999998909902,1.0000000413701846e-05
33,0,0.0,1.0000005964815199e-05,0,53.85127154880972,80,80,79.99999999505185,1.0000005964815199e-05
34,0,1.0,1.0000000413701846e-05,1,44.94057319342862,50,50,49.99999999626071,1.0000000413701846e-05
36,0,0.0,7.071068104396856e-06,0,53.85127154709429,80,80,79.9999999962618,7.071068104396856e-06
46,0,0.0,9.999989311465896e-06,0,53.851271547968906,70,70,69.99999999947416,9.999989311465896e-06
53,0,1.0,7.071068104396856e-06,1,132.46182523237854,140,140,139.9999999929197,1.0000000413701846e-05
57,0,0.0,7.071068104396856e-06,0,53.85127154716141,80,80,79.9999999962618,7.071068104396856e-06
72,0,1.0,7.071068104396856e-06,0,132.46182522897027,140,140,139.9999999929197,1.0000000413701846e-05
76,0,0.0,1.0000005964815199e-05,0,53.85127152093819,70,70,69.99999999518377,1.0000000413701846e-05
78,0,0.0,1.0000000413701846e-05,0,28.314486157584568,50,50,49.99999999610481,1.0000005964815199e-05
79,0,0.0,1.000001151592547e-05,0,53.851271547127816,70,70,69.99999999401902,1.0000005964815199e-05
80,0,1.0,1.0000000413701846e-05,1,11.179213718630047,16,5,16.00000000786909,1.0000000413701846e-05
87,0,1.0,1.0000000413701846e-05,1,44.94057320469961,50,50,50.000000000478444,9.999994862585412e-06
88,0,1.0,1.0000000413701846e-05,1,74.92888452424393,80,80,79.9999999949845,9.999994862585412e-06
89,0,0.0,1.0000000413701846e-05,0,28.314486140617177,50,50,49.999999995000046,1.0000000413701846e-05
93,0,0.0,5.77350293074713e-06,0,53.85127154995592,70,70,69.99999999817135,5.77350293074713e-06
95,0,0.0,1.0,1,8.96762263679605e-17,101,0,5.921553283419963e-194,1.0
104,0,0.0,1.0,1,11.785250328076174,298,0,41.73823360784236,0.6832043776950991
109,0,1.0,1.0000000413701846e-05,1,35.96210494029854,41,0,41.00000000623615,9.999989311465896e-06
111,0,1.0,1.0000005964815199e-05,1,65.02722112873906,70,70,69.99999999721798,1.0000005964815199e-05
115,0,0.0,1.0,0,8.96765761805127e-17,151,0,4.816610595122914e-194,1.0
117,0,0.0,0.688611241878898,0,53.85222673731168,80,80,78.18509628260497,0.2117968952785234
